region_id,value
11001,23466
11002,1763
11003,5209
11004,4039
11005,68542
11006,96126
11007,2100
11008,329
12001,228
12002,51
12003,192
12004,1777
12005,322
13001,0
13002,0
13003,0
13004,188
13005,0
13006,0
13007,6
13008,0
13009,24
13010,5
13011,7
13012,0
13013,398
14001,0
14002,0
14003,0
14004,0
15001,0
15002,40
15003,0
15004,0
15005,0
15006,0
15007,0
15008,0
15009,0
15010,0
15011,42
15012,5
15013,0
15014,5
15015,57
15016,0
15017,0
15018,0
15019,9
15020,0
15021,0
15022,0
16001,0
16002,0
16003,0
16004,0
17001,0
17002,0
17003,0
17004,0
17005,0
17006,0
17007,0
17008,0
21001,0
21002,0
21003,0
21004,0
21005,0
21006,0
21007,0
21008,0
21009,0
21010,0
21011,0
21012,0
21013,0
21014,0
21015,0
21016,0
21017,0
21018,0
21019,0
21020,0
21021,0
22001,0
22002,0
22003,0
22004,0
22005,0
22006,0
22007,0
22008,0
22009,0
22010,0
22011,0
22012,0
22013,0
22014,0
22015,0
23001,0
23002,144
23003,0
23004,3
23005,2
23006,7
23007,0
23008,0
23009,0
23010,1
23011,0
23012,0
23013,291
23014,0
23015,0
23016,0
23017,0
23018,0
23019,0
23020,0
23021,0
23022,0
23023,0
23024,0
23025,0
23026,0
23027,0
23028,0
23029,0
23030,0
23031,0
23032,0
23033,0
24001,0
24002,0
24003,0
24004,0
24005,0
24006,0
24007,0
24008,0
24009,0
24010,0
24011,0
24012,0
24013,0
24014,0
24015,0
24016,0
24017,0
24018,0
24019,0
25001,0
25002,0
25003,0
25004,0
25005,0
25006,0
25007,24
25008,0
25009,0
25010,0
25011,0
25012,0
25013,0
25014,0
25015,0
25016,0
25017,0
25018,0
25019,0
25020,0
25021,0
25022,0
25023,0
26001,12
26002,0
26003,29
26004,0
26005,0
26006,0
26007,0
26008,3
26009,462
26010,0
26011,88
26012,2
26013,0
26014,0
26015,0
26016,0
26017,0
26018,0
26019,0
27001,0
27002,0
27003,0
27004,0
27005,0
27006,0
27007,0
27008,0
27009,0
27010,0
27011,0
27012,0
