region_id,value
1504,145.0
2101,307.18
2102,27.39
2104,89.68
2201,2947.66
2301,12068.98
2302,5715.29
2303,87.72
2304,160.45
2305,42101.37
2306,1132.0
2307,44.23
2401,9630.08
2402,2260.32
2403,30.560000000000002
2404,13284.42
2501,20.6
2502,64.9
2503,2762.87
2504,4374.93
2601,5.43
2602,2.26
2604,3441.79
2605,927.7700000000001
2702,1201.31
2703,370.13999999999993
2803,5206.99
2901,17.52
2904,22.97
2905,1019.54
2907,3543.85
3304,7.44
3306,4.96
4106,2.6
4110,60.81
4202,33.32
4204,0.83
4205,1.79
4206,178.9
