initial_lat,initial_lon,final_lat,final_lon
-28.269083672399606,-52.45241384309063,-27.12558801270384,-52.65037580857723
-28.269083672399606,-52.45241384309063,-28.71538531838108,-49.37951300936959
-28.269083672399606,-52.45241384309063,-23.51450785023216,-51.11017189996072
-28.269083672399606,-52.45241384309063,-25.13963227402695,-50.080127850365216
-28.269083672399606,-52.45241384309063,-22.70552828712199,-46.38386790443653
-25.769936903486013,-49.87044704346187,-26.88565139225938,-49.09730701497807
-27.12558801270384,-52.65037580857723,-27.590363699227385,-54.29920290424001
-27.12558801270384,-52.65037580857723,-28.250514031655403,-54.29718698101478
-27.12558801270384,-52.65037580857723,-27.865030791004383,-54.49786020974798
-27.12558801270384,-52.65037580857723,-28.59488094506161,-53.17228892158284
-27.12558801270384,-52.65037580857723,-27.33961136939197,-53.35986896326808
-27.12558801270384,-52.65037580857723,-27.64403250770112,-52.25727085906357
-27.12558801270384,-52.65037580857723,-28.27811391559514,-52.86392846961161
-27.12558801270384,-52.65037580857723,-28.85418519876684,-51.90364960611082
-27.12558801270384,-52.65037580857723,-30.29077535760423,-51.91170495306504
-28.269083672399606,-52.45241384309063,-24.249774981467624,-50.5225244989534
-28.269083672399606,-52.45241384309063,-24.135645280114566,-50.94765433078595
-28.269083672399606,-52.45241384309063,-25.011786974350297,-51.48053203822435
-28.269083672399606,-52.45241384309063,-26.16837134760039,-52.6629760634102
-28.269083672399606,-52.45241384309063,-28.658561754886797,-49.04521586221546
-28.269083672399606,-52.45241384309063,-27.413476163417048,-51.24487879414677
-28.269083672399606,-52.45241384309063,-28.99471272732418,-49.84877904602466
-28.269083672399606,-52.45241384309063,-28.35455881400768,-49.01925521998968
-25.769936903486013,-49.87044704346187,-29.328350630916496,-49.80929149302479
-25.769936903486013,-49.87044704346187,-26.24973935681021,-50.5333697759235
