nome,uf,lat,lon,Capacidade de envase (t/ano)
Centro Operativo de Campo Grande - MS - ,MS,-20.4486,-54.6295,67344.0
Centro Operativo de Jardinópolis - SP - ,SP,-21.0176,-47.7606,47388.0
Centro Operativo de Cuiabá - MT- ,MT,-15.601,-56.0974,37908.0
Centro Operativo de Ibirité - MG - ,MG,-20.0252,-44.0569,56868.0
Centro Operativo de Araucária - PR,PR,-25.5859,-49.4047,104244.0
Centro Operativo de Cascavel - PR,PR,-24.9573,-53.459,40536.0
Centro Operativo de Canoas - RS,RS,-29.9663438386899,-51.2027174159404,142152.0
Centro Operativo Pelotas - RS,RS,-31.7649,-52.3371,47388.0
Centro Operativo de Passo Fundo - RS,RS,-28.2576,-52.4091,36852.0
Centro Operativo de Capuava - SP,SP,-23.6677,-46.4613,94776.0
Centro Operativo de Barueri - SP,SP,-23.5057,-46.879,151632.0
Centro Operativo de Paulínia - SP,SP,-22.713969065714,-47.1424627066537,137412.0
Centro Operativo de Duque de Caxias - RJ,RJ,-22.7112021034241,-43.2730825160954,159840.0
Centro Operativo São José dos Campos - SP,SP,-23.1896,-45.8841,0.0
Centro Operativo de Uberlândia - MG,MG,-18.8511803137685,-48.2970679026687,60024.0
Centro Operativo de Brasília - DF,DF,-15.7795,-47.9297,0.0
Centro Operativo de Goiânia - GO,GO,-16.6864,-49.2643,51600.0
Centro Operativo de Gurupi - TO,TO,-11.7279,-49.068,47388.0
Centro Operativo de Mataripe - BA,BA,-12.6183,-38.6786,113724.0
Centro Operativo de Belém - PA,PA,-1.4554,-48.4898,76656.0
Centro Operativo de Fortaleza - CE,CE,-3.71664,-38.5423,98556.0
Centro Operativo de Natal - RN,RN,-5.79357,-35.1986,67920.0
Centro Operativo de São Luis - MA,MA,-2.53874,-44.2825,0.0
Centro Operativo de Suape - PE,PE,-8.40362751329276,-34.9679433514232,151632.0
