nome,uf,lat,lon
Depósito Avançado de Socorro - SP - ,SP,-23.5329,-46.6395
Depósito Avançado de Paulínia - SP ,SP,-22.7181386222436,-47.1407874036163
Depósito Avançado de Bauru - SP ,SP,-22.3155162979532,-48.9803769508875
Depósito Avançado de Presidente Prudente- SP ,SP,-22.1207,-51.3925
Depósito Avançado de Duque de Caxias - ,RJ,-22.709987136456,-43.2731578181468
Depósito Avançado de Uberlândia - MG - ,MG,-18.869799834982,-48.300986716161
Depósito Avançado de Ipojuca - PE- ,PE,-8.40419093876879,-34.9673253094409
Depósito Avançado de Rio Largo - AL - ,AL,-9.47783,-35.8394
Depósito Avançado de Ponta Grossa - PR,PR,-25.0916,-50.1668
Depósito Avançado de Itajaí - SC,SC,-26.9101,-48.6705
Depósito Avançado de Joinville - SC,SC,-26.3045,-48.8487
Depósito Avançado de Londrina - PR,PR,-23.304,-51.1691
Depósito Avançado de São José - SC,SC,-27.6136,-48.6366
Terminal Sul - RS,RS,-29.8941454886448,-51.177238060121
Depósito Avançado de Caxias do Sul - RS,RS,-29.1629,-51.1792
Depósito Avançado de Santa Maria - RS,RS,-29.6868,-53.8149
Depósito Avançado de Curitibanos - SC,SC,-27.2824,-50.5816
Depósito Avançado de Santos - SP,SP,-23.9535,-46.335
Depósito Avançado de Bauru - SP,SP,-22.2931200389853,-49.1043152236512
Depósito Avançado de São José do Rio Preto - SP,SP,-20.8113,-49.3758
Depósito Avançado de Serra - ES,ES,-20.121,-40.3074
Depósito Avançado de Barra de São Francisco - ES,ES,-18.7548,-40.8965
Depósito Avançado de Montes Claros - MG,MG,-16.7282,-43.8578
Depósito Avançado de Governador Valadares - MG,MG,-18.8545,-41.9555
Depósito Avançado de Itaobim - MG,MG,-16.5571,-41.5017
Depósito Avançado de Jequié - BA,BA,-13.8509,-40.0877
Depósito Avançado de Juazeiro - BA,BA,-9.41622,-40.5033
Depósito Avançado de Macapá - AP,AP,0.034934,-51.0694
Depósito Avançado Mossoró - RN,RN,-5.18374,-37.3474
Depósito Avançado de Teresina - PI,PI,-5.09194,-42.8034
Depósito Avançado de Aracaju - SE,SE,-10.9091,-37.0677
Depósito Avançado de João Pessoa - PB,PB,-7.11509,-34.8641
