region_id,value
11001,45968
11002,9120
11003,11982
11004,123
11005,19933
11006,3282
11007,1828
11008,29172
12001,1020
12002,746
12003,442
12004,779
12005,1618
13001,2
13002,0
13003,16
13004,430
13005,0
13006,0
13007,0
13008,0
13009,0
13010,16
13011,87
13012,12
13013,2400
14001,13410
14002,63850
14003,35
14004,0
15001,41
15002,14834
15003,156
15004,150
15005,0
15006,37440
15007,28
15008,35
15009,90
15010,117
15011,768
15012,3237
15013,6878
15014,10352
15015,15658
15016,211
15017,16699
15018,1313
15019,88
15020,105
15021,182
15022,8399
16001,56
16002,163
16003,542
16004,129
17001,3500
17002,585
17003,5927
17004,473445
17005,24245
17006,2987
17007,10536
17008,2413
21001,281
21002,5
21003,63
21004,1083
21005,28579
21006,3230
21007,1037
21008,7793
21009,2530
21010,31905
21011,24694
21012,6408
21013,480
21014,3141
21015,6700
21016,1757
21017,20165
21018,12616
21019,1775
21020,14183
21021,12772
22001,19564
22002,15983
22003,5469
22004,1643
22005,8929
22006,1575
22007,13822
22008,2962
22009,911
22010,9810
22011,12
22012,341
22013,559
22014,0
22015,24
23001,232
23002,915
23003,440
23004,0
23005,128
23006,66
23007,0
23008,0
23009,0
23010,75
23011,0
23012,0
23013,1215
23014,0
23015,0
23016,17
23017,0
23018,0
23019,0
23020,0
23021,75
23022,0
23023,9424
23024,0
23025,0
23026,3062
23027,689
23028,200
23029,104
23030,168
23031,20
23032,264
23033,22
24001,0
24002,1290
24003,0
24004,0
24005,19
24006,108
24007,60
24008,0
24009,0
24010,0
24011,70
24012,6
24013,0
24014,0
24015,0
24016,0
24017,0
24018,0
24019,0
25001,0
25002,828
25003,998
25004,0
25005,588
25006,584
25007,39
25008,0
25009,0
25010,0
25011,0
25012,0
25013,0
25014,0
25015,0
25016,0
25017,0
25018,0
25019,0
25020,0
25021,0
25022,0
25023,0
26001,0
26002,0
26003,12
26004,0
26005,1800
26006,0
26007,0
26008,0
26009,0
26010,0
26011,0
26012,0
26013,0
26014,0
26015,0
26016,0
26017,0
26018,0
26019,0
27001,0
27002,0
27003,0
27004,0
27005,0
27006,0
27007,0
27008,0
27009,0
27010,0
27011,0
27012,0
27013,16913
28001,0
28002,0
28003,0
28004,0
28005,0
28006,0
28007,33420
28008,0
28009,388
28010,0
28011,0
28012,0
28013,0
29001,114
29002,13
29003,270
29004,0
29005,0
29006,0
29007,0
29008,9
29009,3
29010,0
29011,0
29012,0
29013,0
29014,0
29015,0
29016,0
29017,0
29018,0
29019,0
29020,0
29021,0
29022,14
29023,192
29024,0
29025,54
29026,0
29027,0
29028,0
29029,0
29030,0
29031,0
29032,0
31001,56
31002,120
31003,522
31004,3
31005,205
31006,103
31007,119
31008,114
31009,37
31010,46
31011,34
31012,18
31013,9
31014,0
31015,26
31016,0
31017,23
31018,0
31019,0
31020,0
31021,12
31022,0
31023,0
31024,5
31025,0
31026,32
31027,6
31028,3
31029,0
31030,0
31031,0
31032,0
31033,0
31034,14
31035,0
31036,18
31037,46
31038,68
31039,0
31040,134
31041,999
31042,63
31043,0
31044,1104
31045,0
31046,32
31047,0
31048,46
31049,7
31050,18
31051,0
31052,90
31053,5012
31054,216
31055,7
31056,271
31057,0
31058,54
31059,80
31060,36
31061,20
31062,93
31063,69
31064,0
31065,56
31066,37
32001,100
32002,226
32003,46
32004,0
32005,0
32006,0
32007,1
32008,0
32009,0
32010,0
32011,0
32012,0
32013,0
33001,45
33002,18
33003,0
33004,731
33005,0
33006,67
33007,0
33008,0
33009,2
33010,0
33011,0
33012,0
33013,0
33014,0
33015,0
33016,0
33017,0
33018,0
35001,0
35002,0
35003,0
35004,2
35005,0
35006,0
35007,0
35008,0
35009,0
35010,0
35011,0
35012,0
35013,0
35014,140
35015,40
35016,0
35017,0
35018,0
35019,0
35020,0
35021,22
35022,0
35023,0
35024,0
35025,54
35026,150
35027,0
35028,4
35029,0
35030,0
35031,6
35032,0
35033,9
35034,0
35035,0
35036,0
35037,0
35038,0
35039,2149
35040,0
35041,1176
35042,18
35043,0
35044,790
35045,3
35046,0
35047,0
35048,11
35049,0
35050,11646
35051,30022
35052,12
35053,12
35054,0
35055,10474
35056,0
35057,0
35058,0
35059,0
35060,0
35061,0
35062,0
35063,0
41001,103841
41002,21295
41003,725
41004,0
41005,91
41006,0
41007,0
41008,2
41009,0
41010,25
41011,316
41012,21
41013,115
41014,51
41015,319
41016,1589
41017,526
41018,820
41019,161
41020,32
41021,37
41022,48
41023,219
41024,132
41025,8
41026,19
41027,26
41028,110
41029,335
41030,12
41031,507
41032,418
41033,270
41034,72
41035,53
41036,7
41037,9
41038,9465
41039,23
42001,0
42002,18
42003,1
42004,0
42005,3
42006,440
42007,74
42008,141482
42009,0
42010,15
42011,83188
42012,57396
42013,75098
42014,1755
42015,16020
42016,15186
42017,1087
42018,126698
42019,181779
42020,494241
43001,0
43002,2
43003,88
43004,19
43005,4
43006,240
43007,14114
43008,180
43009,12
43010,15
43011,2
43012,0
43013,0
43014,13
43015,0
