region_id,value
11001,3605
11002,220
11003,2801
11004,5324
11005,120
11006,3200
11007,349
11008,2188
12001,3024
12002,1510
12003,1018
12004,4604
12005,1740
13001,0
13002,0
13003,159
13004,4882
13005,0
13006,180
13007,0
13008,29000
13009,0
13010,1073
13011,950
13012,40
13013,955
14001,650
14002,1465
14003,0
14004,1020
15001,560
15002,1735
15003,1074
15004,188
15005,61
15006,0
15007,200
15008,0
15009,0
15010,6900
15011,3400
15012,0
15013,0
15014,1910
15015,2853
15016,0
15017,1190618
15018,0
15019,0
15020,0
15021,180
15022,0
16001,430
16002,3592
16003,2015
16004,960
17001,457
17002,2206
17003,50219
17004,5849
17005,3415
17006,2456265
17007,502
17008,15810
21001,4071
21002,0
21003,452
21004,349
21005,3933
21006,0
21007,0
21008,0
21009,137378
21010,879
21011,34928
21012,1857
21013,4874
21014,5489
21015,54636
21016,594975
21017,197402
21018,36429
21019,492710
21020,779
21021,1256562
22001,150040
22002,2874
22003,856742
22004,11287
22005,8098
22006,6999
22007,5204
22008,220
22009,1290
22010,16725
22011,313
22012,1050
22013,2849
22014,0
22015,0
23001,443
23002,341631
23003,1508
23004,903
23005,674
23006,5578
23007,2210
23008,3517
23009,4968
23010,2183
23011,137
23012,915
23013,13255
23014,740
23015,65648
23016,16979
23017,2252
23018,725
23019,210
23020,1324
23021,10574
23022,437
23023,0
23024,182
23025,2275
23026,1814
23027,945
23028,8007
23029,30
23030,752
23031,3190
23032,27596
23033,999
24001,0
24002,0
24003,0
24004,132
24005,2337
24006,1756
24007,2544
24008,0
24009,0
24010,0
24011,0
24012,0
24013,0
24014,0
24015,72091
24016,389200
24017,612000
24018,0
24019,2262880
25001,0
25002,2275
25003,4030
25004,215
25005,1145
25006,3010
25007,3718
25008,0
25009,0
25010,0
25011,0
25012,0
25013,1250
25014,0
25015,192750
25016,61075
25017,0
25018,16200
25019,0
25020,1999750
25021,1401750
25022,910000
25023,1165500
26001,0
26002,0
26003,20543
26004,0
26005,6360
26006,340
26007,0
26008,510
26009,0
26010,121976
26011,12000
26012,37886
26013,5614847
26014,565758
26015,5550490
26016,587381
26017,1329050
26018,2752000
26019,0
27001,2800
27002,0
27003,0
27004,0
27005,2756
27006,359507
27007,0
27008,829384
27009,3586151
27010,662453
27011,2489146
27012,7623254
27013,1495321
28001,0
28002,0
28003,93214
28004,66924
28005,0
28006,0
28007,87327
28008,330376
28009,573487
28010,978642
28011,42202
28012,0
28013,11200
29001,9099
29002,8583
29003,35504
29004,1719849
29005,0
29006,27060
29007,1060
29008,508
29009,2864
29010,370
29011,5
29012,10
29013,0
29014,0
29015,417
29016,0
29017,177
29018,0
29019,1012
29020,5147
29021,757
29022,10786
29023,41600
29024,3931
29025,7628
29026,17724
29027,7687
29028,8003
29029,13276
29030,620
29031,9022
29032,2755541
31001,1785140
31002,5228820
31003,107365
31004,919030
31005,131715
31006,15120
31007,97085
31008,10825
31009,20200
31010,21315
31011,58253
31012,33055
31013,9499
31014,10825
31015,37631
31016,199735
31017,7023000
31018,5441605
31019,2744
31020,20645
31021,16194850
31022,21432700
31023,5260300
31024,1150570
31025,81125
31026,2482740
31027,43629
31028,29567
31029,11710
31030,17386
31031,101875
31032,49681
31033,6368
31034,15251
