region_id,value
11001,1131
11002,456
11003,375
11004,303
11005,32
11006,999
11007,354
11008,151
12001,571
12002,457
12003,773
12004,4401
12005,497
13001,72
13002,38
13003,377
13004,191
13005,439
13006,170
13007,9445
13008,8232
13009,1669
13010,387
13011,62
13012,0
13013,945
14001,1564
14002,1121
14003,2540
14004,17050
15001,655
15002,8511
15003,225
15004,150
15005,0
15006,0
15007,360
15008,2212
15009,882
15010,4443
15011,950
15012,2166
15013,236185
15014,2055
15015,5271
15016,0
15017,550
15018,0
15019,24
15020,12
15021,0
15022,0
16001,350
16002,654
16003,1677
16004,939
17001,750
17002,0
17003,50
17004,0
17005,0
17006,0
17007,0
17008,33
21001,28
21002,0
21003,77
21004,32
21005,29
21006,35
21007,21
21008,0
21009,65
21010,0
21011,14
21012,0
21013,5
21014,0
21015,10
21016,8
21017,14
21018,28
21019,0
21020,0
21021,0
22001,328
22002,75
22003,792
22004,0
22005,114
22006,30
22007,92
22008,99
22009,17
22010,28
22011,0
22012,0
22013,0
22014,0
22015,0
23001,46
23002,4412
23003,77
23004,53
23005,59
23006,973
23007,27
23008,0
23009,0
23010,17
23011,0
23012,0
23013,111
23014,0
23015,205
23016,32
23017,0
23018,4
23019,19
23020,0
23021,31
23022,45
23023,1772
23024,0
23025,0
23026,0
23027,0
23028,0
23029,0
23030,50
23031,110
23032,294
23033,123
24001,48
24002,44
24003,0
24004,0
24005,0
24006,0
24007,0
24008,0
24009,0
24010,0
24011,0
24012,0
24013,0
24014,36
24015,72
24016,0
24017,575
24018,0
24019,50
25001,0
25002,0
25003,0
25004,0
25005,0
25006,0
25007,0
25008,0
25009,0
25010,0
25011,0
25012,240
25013,56
25014,360
25015,3195
25016,395
25017,529
25018,0
25019,65
25020,332
25021,128
25022,21
25023,34
26001,47
26002,5
26003,61
26004,0
26005,0
26006,27
26007,10
26008,16
26009,60
26010,32
26011,823
26012,3975
26013,54
26014,0
26015,992
26016,0
26017,0
26018,375
26019,0
27001,249
27002,0
27003,34
27004,30
27005,982
27006,489
27007,12
27008,84778
27009,43632
27010,960
27011,192
27012,699
27013,312
28001,0
28002,0
28003,56
28004,455
28005,0
28006,52700
28007,1840
28008,111
28009,32
28010,0
28011,0
28012,276609
28013,87011
29001,14742
29002,0
29003,210
29004,0
29005,0
29006,0
29007,1299
29008,59
29009,232
29010,87
29011,8
29012,756
29013,0
29014,0
29015,28469
29016,330
29017,400176
29018,62571
29019,295
29020,45507
29021,108
29022,20
29023,4850
29024,10172
29025,22
29026,636
29027,539
29028,740
29029,38
29030,824
29031,471
29032,2065
31001,35667
31002,872
31003,818
31004,1757
31005,553
31006,44150
31007,260
31008,286
31009,234
31010,305
31011,1067
31012,431
31013,130
31014,147
31015,1490
31016,14
31017,33514
31018,376520
31019,3820
31020,1028
31021,378771
31022,18695
31023,5962
31024,43
31025,106
31026,2330
31027,1413
31028,115
31029,0
31030,3146
31031,113
31032,1115
31033,260
31034,107
31035,260
31036,90
31037,435
31038,95
31039,44
31040,1560
31041,464
31042,11012
31043,408
31044,5220
31045,1238
31046,4216
31047,15086
31048,71307
31049,6397
31050,21034
31051,2605
31052,1046
31053,4043
31054,1357
31055,8600
31056,1227
31057,204
31058,10573
31059,393
31060,90
31061,156
31062,307
31063,121
31064,6112
31065,269
31066,194
32001,483
32002,849
32003,1354
32004,4500
32005,1050
32006,3266
32007,2054
32008,1623
32009,936
32010,1241
32011,1533
32012,4458
32013,835
33001,2081
33002,65
33003,117
33004,204
33005,0
33006,119
33007,501
33008,32
33009,2144
33010,24569
33011,0
33012,0
33013,0
33014,25
33015,0
33016,13667
33017,0
33018,20159
35001,287603
35002,156339
35003,129063
35004,826605
35005,176544
35006,14715
35007,44505
35008,157450
35009,561165
35010,67
35011,15687
35012,196910
35013,551851
35014,112407
35015,107163
35016,110228
35017,30000
35018,0
35019,190417
35020,1016572
35021,103407
35022,1358135
35023,775900
35024,902206
35025,243866
35026,228830
35027,215892
35028,133500
35029,390795
35030,974337
35031,846702
35032,33148
35033,36988
35034,80
35035,650
35036,992
35037,1105
35038,153929
35039,13808
35040,585996
35041,414724
35042,606596
35043,51692
35044,103075
35045,16071
35046,131941
35047,1298
35048,7319
35049,0
35050,164
35051,390
35052,640
35053,0
35054,0
35055,6305
35056,0
35057,0
35058,0
35059,0
35060,0
35061,122
35062,100
35063,0
41001,338358
41002,56110
41003,25023
41004,116
41005,605
41006,102368
41007,1993
41008,22310
41009,30
41010,8281
41011,17360
41012,27
41013,1773
41014,36549
41015,20183
41016,374
41017,1202
41018,1688
41019,406
41020,471
41021,330
41022,211
41023,2740
41024,204
41025,2499
41026,6341
41027,706
41028,1219
41029,2231
41030,159
41031,671
41032,190
41033,362
41034,200
41035,4308
41036,0
41037,309
41038,240
41039,0
42001,1285
42002,2882
42003,30
42004,1034
42005,11538
42006,144
42007,0
42008,239
42009,480
42010,1215
42011,4354
42012,474
42013,0
42014,1611
42015,486
42016,297
42017,324
42018,1042
42019,1097
42020,1920
43001,3478
43002,3317
43003,74768
43004,79864
43005,6279
43006,1839
43007,3188
43008,3410
43009,4626
43010,2885
43011,5014
43012,705
43013,1008
43014,17533
43015,1214
43016,17231
43017,2766
43018,5624
43019,3897
43020,7346
43021,9249
43022,2084
43023,56593
43024,7528
43025,3283
43026,4489
43027,3197
43028,1794
43029,2988
43030,14990
43031,250
43032,1984
43033,2798
43034,40
43035,0
50001,56
50002,6212
50003,0
50004,1723
50005,0
50006,23411
50007,4728
50008,10
50009,85
50010,180
50011,0
51001,724
51002,121
51003,592
51004,240
51005,100
51006,0
51007,280
51008,0
51009,0
51010,0
51011,0
51012,300
51013,137
51014,1178
51015,0
51016,0
51017,600
51018,186
51019,0
51020,0
51021,36
51022,0
52001,0
52002,0
52003,0
52004,0
52005,0
52006,576
52007,44573
52008,0
52009,266
52010,37653
52011,7065
52012,16888
52013,8390
52014,4855
52015,29167
52016,4997
52017,8800
52018,0
53001,1010
